,habit,disorder,void_volume,molecule_name,crystal_system,calculated_density,packing_coefficient,2theta_0,2theta_1,2theta_2,2theta_3,2theta_4,2theta_5,2theta_6,2theta_7,2theta_8,2theta_9,Fe,S,Y,W,Sn,Ni,Ag,Na,Er,P,Hg,N,Rh,F,Dy,Co,La,Tm,K,Nd,C,Pt,Ti,Rb,Ga,U,Sm,Ge,As,Sc,V,Lu,Gd,H,Mn,Yb,Cs,Th,Mg,Cr,I,Sb,Be,Ca,Ce,Al,In,Cd,Sr,Np,Eu,Ir,Tb,Pu,Re,Hf,Ru,Li,Au,Cu,B,Ho,Mo,Ba,Pd,Zn,Pb,Se,Pr,Nb,Cl,Br,Te,Zr,Bi,Si,O
10,,0,31.832837301587304,cifs/ABEXOW_clean.cif,triclinic,1.8124304511388796,0.5223677292931224,9.219999999999999,9.24,9.2,14.200000000000001,9.18,14.18,9.26,14.22,9.08,9.16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,48
11,,0,32.55208333333333,cifs/ABEXUC_clean.cif,triclinic,1.8481408057237987,0.5247371675943104,9.24,9.26,9.219999999999999,14.24,14.26,9.2,9.280000000000001,14.22,9.18,14.28,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,8,56,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
12,,0,32.037815126050425,cifs/ABEYAJ_clean.cif,triclinic,1.9064022591959502,0.5282318025616994,9.26,9.280000000000001,9.24,9.3,14.32,14.3,9.219999999999999,14.34,9.2,14.28,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,56,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
13,,0,31.64390756302521,cifs/ABEYEN_clean.cif,triclinic,1.9292939112946488,0.5314995313964386,9.280000000000001,9.3,9.26,9.32,14.34,14.36,9.24,14.32,9.219999999999999,9.2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
14,,0,31.77521008403361,cifs/ABEYIR_clean.cif,triclinic,1.969619799441369,0.5329531555287278,9.3,9.280000000000001,9.32,9.26,14.38,14.36,9.24,9.34,14.4,9.219999999999999,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
15,,0,52.08960616644587,cifs/ABIXOZ_clean.cif,triclinic,1.9175240590944587,0.4146213942307692,8.780000000000001,8.76,8.8,8.74,8.82,8.72,9.08,8.84,9.06,9.1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,52
16,,0,18.339822024471637,cifs/ABIYIV_clean.cif,triclinic,1.3465853767343878,0.5688284379172229,10.02,10.0,10.04,8.879999999999999,8.9,8.3,8.280000000000001,9.98,8.86,8.32,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,12,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
17,,0,41.85314685314685,cifs/ABULOB_clean.cif,triclinic,1.3192260189562115,0.4720132349427733,11.879999999999999,11.9,11.86,11.92,11.84,11.940000000000001,11.82,11.96,24.82,13.26,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
18,,0,46.62271062271062,cifs/ABUWOJ_clean.cif,triclinic,1.1584333772235946,0.3953488372093023,9.34,9.36,9.32,10.3,9.379999999999999,10.280000000000001,10.32,9.3,9.4,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,56
19,,0,40.1787248668156,cifs/ac403674p_si_001_clean.cif,triclinic,1.1207616328493923,0.4256566722972973,6.4,6.38,6.42,6.36,6.4399999999999995,6.34,6.46,6.32,6.48,6.3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,12
