Cr-soc-MOF-1 TCPT
[Cd(L’1)(Cl)](H2O) L’1
CAU-10(Al)-H "1
CAU-10(Al)-H "1
CAU-10(Al)-H "1
UiO-66(Zr)-NO2 NO2-BDC
MIL-125(Ti)-NH2 BDC-NH2
UiO-66(Zr)-NH2 BDC-NH2
Mg-CUK-1 PDC
UiO-66(Zr) BDC
UiO-66(Zr) BDC
CAU-10(Al)-H "1
UiO-66(Zr)-NO2 BDC-NO2
MIL-100(Cr)-EN BTC
UiO-66(Zr) BDC
MOF-801(Zr) FA
UiO-66(Zr)-NH2 NH2-BDC
UiO-66(Zr)-NH2 NH2-BDC
MIL-125(Ti) BDC
UiO-66(Zr) BDC
UiO-66(Zr) BDC
MIL-101(Al)-URPh URPh-BDC
MIL-53(Al)-(OH).68(NH2).32 NH2-/OH-BDC
CAU-10(Al)-H "1
MIL-125(Ti)-NH2 NH2-BDC
CAU-1 (Al) BDC-NH2
NU-1000(Zr)-SALI-9 CF3(CF2)8-TBAPy
Cu2Cl2BBTA BBTA
MOF-806(Zr) (OH)2-BPDC
UiO-66(Zr)-NH2 NH2-BDC
MIL-160(Al) FDC
DUT-68(Zr) TDC
LA1-Zr612-shp LA1
MOF-801(Zr) FA
MOF-805(Zr) (OH)2-NDC
MIL-100(Cr)-TEG BTC
MIL-68(In)-NH2 NH2-BDC
UiO-66D(Zr) ABDC
MOS-1(Co) "IDC
UiO-66(Zr)-(OH)2 BDC-(OH)2
Ni-CUK-1 PDC
CAU-1(Al)-(OH)2 BDC-(OH)2
ZIF-90(Zn) Ica
LC1-Zr612-fcu LC1
HKUST-1(Cu) BTC
MIL-125(Ti)-NHMe BDC-NHMe
UiO-66(Zr)-CH3 CH3-BDC
UiO-66(Hf)-(OH)2 BDC-(OH)2
Co-CUK-1 PDC
CAU-10(Al)-H "1
CAU-10(Al)-OH "1
[La3L4(H2O)6]-Cl TAPP
Zn(NDI-SOEt) NDI-SOEt
Basolite™ F300 -
MIL-125(Ti) BDC
MIL-68(In) BDC
Cu2(pzdc)2bpe Pzdc/bpe
CAU-10(Al)-H "1
DUT-67(Hf) TDC
DUT-68(Hf) TDC
UiO-67(Zr) BPDC
ISE-1(Ni) BTC/btre
UiO-66(Zr)-CF3 BDC-CF3
UiO-66(Zr)-(CH3)2 BDC-(CH3)2
UiO-66D(Zr)-(CF3)2 ABDC-(CF3)2
FeFFIVE-1-Ni Pyrazine
MOF-801(Zr) (Scaled-up) FA
UiO-66(Zr)-(COOH)2 (COOH)2-BDC
UiO-66(Zr)-NH2 BDC-NH2
DMOF(Zn)-A ADC/DABCO
DMOF-TM1(Zn) TMBDC/BDC/DABCO
Cd(BTTB) BTTB
Zn(BTTB)(BPY) BTTB/BPY
"UiO-66(Zr)-1 4-Napthyl"
DUT-69(Zr) TDC
SIFSIX-2-Cu-i BPA
LC3-Zr68-bcu LC3
UiO-66(Zr)-CH3 BDC-CH3
CAU-1(Al)-NHCOCH3 NHCOCH3-BDC
Zn(NDI-SO2Et) NDI-SO2Et
Zn(NDI-SEt) NDI-SEt
Co(BTTB)(AZPY) BTTB/AZPY
[Dy(ox)(Bpybc)(H2O)] Ox/ Bpybc
UiO-66(Zr)-C2F5 BDC-C2F5
ValZnOAc Val
MUF-77(Zn)-ethyl "HETT
AlaZnOAc Ala
